2021-03-03 01:16:11.337172,TESSERACT THREAD, Time READ neural network detector training file, 0.3414499759674072
2021-03-03 01:16:11.453390,SCREENSHOT THREAD, Time take from FormateScreenshotReader 1, 0.4447948932647705
2021-03-03 01:16:11.471392,RENDER THREAD, is running , 0
2021-03-03 01:16:11.630885,MAIN THREAD,refresh,0
2021-03-03 01:16:11.833377,SCREENSHOT THREAD, Time take from FormateScreenshotReader 2, 0.2705991268157959
2021-03-03 01:16:39.239797,SCREENSHOT THREAD, Time take from FormateScreenshotReader 2, 0.33849072456359863
2021-03-03 01:16:42.526766,SCREENSHOT THREAD, Time take from FormateScreenshotReader 2, 0.19573402404785156
2021-03-03 01:16:45.867168,SCREENSHOT THREAD, Time take from FormateScreenshotReader 2, 0.2508070468902588
2021-03-03 01:16:49.178416,SCREENSHOT THREAD, Time take from FormateScreenshotReader 2, 0.1507866382598877
2021-03-03 01:16:52.465927,SCREENSHOT THREAD, Time take from FormateScreenshotReader 2, 0.18247509002685547
2021-03-03 01:16:55.689284,SCREENSHOT THREAD, Time take from FormateScreenshotReader 2, 0.15437793731689453
2021-03-03 01:16:58.974271,SCREENSHOT THREAD, Time take from FormateScreenshotReader 2, 0.1924731731414795
2021-03-03 01:17:02.211225,SCREENSHOT THREAD, Time take from FormateScreenshotReader 2, 0.19043183326721191
2021-03-03 01:17:05.512277,SCREENSHOT THREAD, Time take from FormateScreenshotReader 2, 0.22821593284606934
2021-03-03 01:17:08.809195,SCREENSHOT THREAD, Time take from FormateScreenshotReader 2, 0.23978519439697266
2021-03-03 01:17:12.183737,SCREENSHOT THREAD, Time take from FormateScreenshotReader 2, 0.25394201278686523
2021-03-03 01:17:15.389369,SCREENSHOT THREAD, Time take from FormateScreenshotReader 2, 0.15199899673461914
2021-03-03 01:17:17.865604,TESSERACT THREAD, Decode text from rect position [810_1193_929_1223],0
2021-03-03 01:17:17.897255,TESSERACT THREAD, Decode text from rect position [153_594_235_629],0
2021-03-03 01:17:17.949188,TESSERACT THREAD, Decode text from rect position [1788_556_1905_590],0
2021-03-03 01:17:17.987255,TESSERACT THREAD, Decode text from rect position [2027_501_2080_534],0
2021-03-03 01:17:18.007252,TESSERACT THREAD, Decode text from rect position [162_1210_233_1245],0
2021-03-03 01:17:18.010796,SCHEDULER THREAD, Sort elements from button render queue closer to the mouse, 8.821487426757812e-06
2021-03-03 01:17:18.010836,TESSERACT THREAD, Decode text from rect position [2035_808_2162_840],0
2021-03-03 01:17:18.030060,TESSERACT THREAD, Decode text from rect position [1711_669_1775_702],0
2021-03-03 01:17:18.061882,TESSERACT THREAD, Decode text from rect position [395_341_517_375],0
2021-03-03 01:17:18.061915,SCHEDULER THREAD, Sort elements from button render queue closer to the mouse, 1.0967254638671875e-05
2021-03-03 01:17:18.068484,TESSERACT THREAD, Decode text from rect position [395_285_491_320],0
2021-03-03 01:17:18.068649,SCHEDULER THREAD, Sort elements from button render queue closer to the mouse, 6.198883056640625e-06
2021-03-03 01:17:18.068684,TESSERACT THREAD, Decode text from rect position [813_1392_923_1427],0
2021-03-03 01:17:18.081368,TESSERACT THREAD, Decode text from rect position [1765_1029_1823_1063],0
2021-03-03 01:17:18.081404,SCHEDULER THREAD, Sort elements from button render queue closer to the mouse, 6.9141387939453125e-06
2021-03-03 01:17:18.087767,TESSERACT THREAD, Decode text from rect position [146_844_334_882],0
2021-03-03 01:17:18.164627,TESSERACT THREAD, Decode text from rect position [156_342_238_379],0
2021-03-03 01:17:18.227820,TESSERACT THREAD, Decode text from rect position [2440_754_2541_789],0
2021-03-03 01:17:18.259952,TESSERACT THREAD, Decode text from rect position [1645_501_1704_533],0
2021-03-03 01:17:18.288773,TESSERACT THREAD, Decode text from rect position [1513_501_1597_533],0
2021-03-03 01:17:18.288876,SCHEDULER THREAD, Sort elements from button render queue closer to the mouse, 1.4781951904296875e-05
2021-03-03 01:17:18.333222,TESSERACT THREAD, Decode text from rect position [2528_1646_2615_1684],0
2021-03-03 01:17:18.391352,TESSERACT THREAD, Decode text from rect position [2330_753_2440_787],0
2021-03-03 01:17:18.429469,TESSERACT THREAD, Decode text from rect position [2268_502_2402_534],0
2021-03-03 01:17:18.431249,SCHEDULER THREAD, Sort elements from button render queue closer to the mouse, 2.7894973754882812e-05
2021-03-03 01:17:18.431285,TESSERACT THREAD, Decode text from rect position [1419_888_1547_922],0
2021-03-03 01:17:18.482440,TESSERACT THREAD, Decode text from rect position [548_4_656_40],0
2021-03-03 01:17:18.543515,SCREENSHOT THREAD, Time take from FormateScreenshotReader 2, 0.09567999839782715
2021-03-03 01:17:18.568869,TESSERACT THREAD, Decode text from rect position [1094_892_1144_922],0
2021-03-03 01:17:18.573448,SCHEDULER THREAD, Sort elements from button render queue closer to the mouse, 2.7894973754882812e-05
2021-03-03 01:17:18.573709,TESSERACT THREAD, Decode text from rect position [814_1086_878_1116],0
2021-03-03 01:17:18.611867,TESSERACT THREAD, Decode text from rect position [533_235_722_276],0
2021-03-03 01:17:18.611967,SCHEDULER THREAD, Sort elements from button render queue closer to the mouse, 2.002716064453125e-05
